project_id,project_type,terrain,planned_days,planned_cost,regulatory_risk,season,vendor,vendor_rating,market_condition,actual_days,actual_cost,cost_overrun_pct,time_overrun_pct,cost_overrun,time_overrun
P00126,substation,hilly,153,50000000.0,Medium,Winter,vendor_19,3.5,Stable,147,47921421.10994789,-0.041571577801042196,-0.0392156862745098,0,0
P00127,substation,hilly,201,50000000.0,Low,Summer,vendor_8,3.8,Stable,213,53532587.1690121,0.070651743380242,0.05970149253731343,0,0
P00128,substation,hilly,149,50000000.0,Low,Winter,vendor_16,3.9,Volatile,160,58253725.99186238,0.16507451983724758,0.0738255033557047,1,0
P00129,overhead_line,urban,96,10000000.0,Low,Winter,vendor_19,2.8,Stable,108,11227787.9984508,0.12277879984508008,0.125,1,1
P00130,overhead_line,hilly,97,10000000.0,Low,Winter,vendor_18,3.5,Volatile,96,10597659.351466559,0.05976593514665589,-0.010309278350515464,0,0
P00131,underground_cable,forest,138,20000000.0,Medium,Summer,vendor_4,3.6,Stable,147,21075232.536815856,0.05376162684079278,0.06521739130434782,0,0
P00132,substation,plains,134,50000000.0,Medium,Winter,vendor_9,4.5,Stable,135,50461139.94599929,0.009222798919985741,0.007462686567164179,0,0
P00133,overhead_line,hilly,102,10000000.0,Medium,Monsoon,vendor_7,4.2,Stable,115,9644948.128723042,-0.03550518712769579,0.12745098039215685,0,1
P00134,overhead_line,urban,126,10000000.0,Low,Summer,vendor_16,3.3,Stable,118,9696556.368203199,-0.030344363179680145,-0.06349206349206349,0,0
P00135,overhead_line,plains,111,10000000.0,Low,Winter,vendor_10,3.6,Volatile,110,10810373.749900403,0.08103737499004025,-0.009009009009009009,0,0
P00136,overhead_line,plains,109,10000000.0,Low,Summer,vendor_1,4.0,Stable,112,10377293.008978263,0.03772930089782625,0.027522935779816515,0,0
P00137,overhead_line,forest,109,10000000.0,Medium,Summer,vendor_8,4.1,Stable,109,10269113.467957405,0.02691134679574054,0.0,0,0
P00138,underground_cable,hilly,125,20000000.0,Low,Winter,vendor_20,2.7,Stable,142,22169070.820781197,0.10845354103905987,0.136,1,1
P00139,substation,hilly,177,50000000.0,Medium,Summer,vendor_12,5.0,Stable,159,45538657.88604024,-0.0892268422791952,-0.1016949152542373,0,0
P00140,overhead_line,plains,135,10000000.0,Low,Winter,vendor_1,4.0,Stable,129,9486654.91343817,-0.051334508656183074,-0.044444444444444446,0,0
P00141,substation,plains,181,50000000.0,Medium,Summer,vendor_4,4.7,Stable,170,48308455.421746776,-0.03383089156506449,-0.06077348066298342,0,0
P00142,substation,hilly,217,50000000.0,Low,Winter,vendor_13,3.5,Volatile,231,59104802.285545535,0.1820960457109107,0.06451612903225806,1,0
P00143,substation,plains,156,50000000.0,Medium,Summer,vendor_20,3.9,Volatile,158,50191687.56962029,0.0038337513924057783,0.01282051282051282,0,0
P00144,overhead_line,plains,115,10000000.0,Medium,Monsoon,vendor_20,3.8,Stable,134,10361411.336243646,0.03614113362436462,0.16521739130434782,0,1
P00145,overhead_line,plains,62,10000000.0,Low,Winter,vendor_11,4.0,Stable,62,10026412.517464727,0.0026412517464727164,0.0,0,0
P00146,underground_cable,plains,148,20000000.0,Medium,Monsoon,vendor_19,2.9,Stable,194,22876419.503679447,0.14382097518397235,0.3108108108108108,1,1
P00147,overhead_line,hilly,105,10000000.0,Low,Summer,vendor_4,3.8,Stable,99,9655741.703252703,-0.03442582967472971,-0.05714285714285714,0,0
P00148,substation,plains,199,50000000.0,Low,Monsoon,vendor_5,3.5,Volatile,244,57740143.565384135,0.1548028713076827,0.22613065326633167,1,1
P00149,overhead_line,hilly,129,10000000.0,Low,Monsoon,vendor_13,4.9,Volatile,135,9925558.30167918,-0.007444169832082093,0.046511627906976744,0,0
P00150,overhead_line,forest,100,10000000.0,Low,Winter,vendor_4,4.7,Stable,100,10029858.33466391,0.002985833466391079,0.0,0,0
P00151,underground_cable,plains,155,20000000.0,High,Monsoon,vendor_16,3.1,Volatile,152,23757888.907256708,0.18789444536283537,-0.01935483870967742,1,0
P00152,overhead_line,urban,107,10000000.0,Medium,Winter,vendor_13,2.9,Volatile,118,11599916.030906243,0.15999160309062432,0.102803738317757,1,1
P00153,substation,forest,163,50000000.0,Low,Summer,vendor_15,4.9,Volatile,162,57816080.74528441,0.15632161490568816,-0.006134969325153374,1,0
P00154,overhead_line,plains,75,10000000.0,Low,Summer,vendor_16,4.9,Stable,66,8989827.528590076,-0.10101724714099243,-0.12,0,0
P00155,substation,plains,206,50000000.0,Medium,Winter,vendor_18,3.3,Stable,224,54409303.087473914,0.08818606174947828,0.08737864077669903,0,0
P00156,underground_cable,hilly,129,20000000.0,Medium,Summer,vendor_10,3.3,Volatile,125,19387413.103472296,-0.030629344826385192,-0.031007751937984496,0,0
P00157,overhead_line,hilly,115,10000000.0,Medium,Winter,vendor_3,4.2,Stable,132,10780581.973133186,0.07805819731331859,0.14782608695652175,0,1
P00158,overhead_line,plains,86,10000000.0,High,Winter,vendor_14,4.4,Stable,88,10060344.295052877,0.006034429505287669,0.023255813953488372,0,0
P00159,underground_cable,plains,148,20000000.0,Medium,Monsoon,vendor_15,3.8,Volatile,179,23111625.35345836,0.155581267672918,0.20945945945945946,1,1
P00160,substation,hilly,232,50000000.0,Medium,Monsoon,vendor_15,4.7,Stable,259,50084599.971107915,0.001691999422158301,0.11637931034482758,0,1
P00161,underground_cable,plains,154,20000000.0,Medium,Summer,vendor_14,4.0,Stable,152,20142279.747527726,0.007113987376386299,-0.012987012987012988,0,0
P00162,substation,forest,209,50000000.0,Low,Winter,vendor_14,4.4,Volatile,212,55941588.197345324,0.11883176394690648,0.014354066985645933,1,0
P00163,overhead_line,hilly,114,10000000.0,Medium,Winter,vendor_3,2.8,Stable,114,10037867.118657956,0.00378671186579559,0.0,0,0
P00164,substation,plains,171,50000000.0,Medium,Winter,vendor_3,2.7,Stable,207,60987460.84298761,0.21974921685975224,0.21052631578947367,1,1
P00165,overhead_line,forest,135,10000000.0,Low,Summer,vendor_13,4.4,Volatile,125,10239670.295727747,0.023967029572774655,-0.07407407407407407,0,0
P00166,substation,plains,206,50000000.0,Medium,Summer,vendor_20,2.7,Volatile,218,60832891.3047548,0.216657826095096,0.05825242718446602,1,0
P00167,substation,hilly,153,50000000.0,Medium,Monsoon,vendor_11,4.3,Volatile,170,54978252.74074388,0.09956505481487767,0.1111111111111111,0,1
P00168,overhead_line,hilly,153,10000000.0,High,Winter,vendor_19,3.1,Stable,197,12306136.326756831,0.23061363267568313,0.2875816993464052,1,1
P00169,overhead_line,plains,97,10000000.0,Low,Winter,vendor_18,4.8,Volatile,92,10128748.01503177,0.012874801503176988,-0.05154639175257732,0,0
P00170,underground_cable,plains,130,20000000.0,Low,Summer,vendor_10,3.2,Stable,130,20548734.72281506,0.027436736140752958,0.0,0,0
P00171,substation,forest,209,50000000.0,Low,Winter,vendor_11,2.7,Volatile,218,52410837.98071917,0.04821675961438343,0.0430622009569378,0,0
P00172,substation,urban,197,50000000.0,Low,Winter,vendor_20,2.8,Volatile,212,59736117.216969326,0.1947223443393865,0.07614213197969544,1,0
P00173,overhead_line,plains,103,10000000.0,Low,Summer,vendor_12,3.4,Stable,106,10486443.082952222,0.048644308295222184,0.02912621359223301,0,0
P00174,underground_cable,hilly,133,20000000.0,Low,Summer,vendor_2,3.5,Stable,150,23125717.596945494,0.1562858798472747,0.12781954887218044,1,1
P00175,substation,forest,158,50000000.0,Medium,Summer,vendor_10,3.7,Stable,164,52086828.60072464,0.04173657201449275,0.0379746835443038,0,0
P00176,overhead_line,forest,121,10000000.0,Low,Summer,vendor_17,3.0,Stable,131,10964364.891696123,0.09643648916961234,0.08264462809917356,0,0
P00177,overhead_line,plains,112,10000000.0,Low,Monsoon,vendor_17,2.6,Stable,120,10950500.253376972,0.0950500253376972,0.07142857142857142,0,0
P00178,substation,hilly,243,50000000.0,Medium,Summer,vendor_19,3.6,Stable,240,50230065.32560197,0.004601306512039453,-0.012345679012345678,0,0
P00179,overhead_line,plains,140,10000000.0,Low,Monsoon,vendor_18,2.9,Stable,157,9919751.894001309,-0.008024810599869116,0.12142857142857143,0,1
P00180,substation,urban,171,50000000.0,Medium,Summer,vendor_4,4.5,Volatile,184,56623899.15985482,0.13247798319709644,0.07602339181286549,1,0
P00181,substation,urban,158,50000000.0,Medium,Summer,vendor_6,4.9,Stable,147,47295438.04800856,-0.05409123903982878,-0.06962025316455696,0,0
P00182,substation,forest,185,50000000.0,Low,Summer,vendor_3,3.0,Volatile,209,63074818.469082884,0.2614963693816577,0.12972972972972974,1,1
P00183,substation,plains,176,50000000.0,Low,Winter,vendor_3,4.7,Stable,180,50969454.15938469,0.019389083187693803,0.022727272727272728,0,0
P00184,underground_cable,forest,182,20000000.0,Low,Winter,vendor_16,3.9,Volatile,180,21972523.773116563,0.09862618865582813,-0.01098901098901099,0,0
P00185,substation,forest,173,50000000.0,Low,Winter,vendor_6,4.6,Stable,163,47619548.095380336,-0.04760903809239328,-0.057803468208092484,0,0
P00186,overhead_line,hilly,93,10000000.0,Low,Summer,vendor_3,4.4,Stable,89,9768009.686840529,-0.02319903131594714,-0.043010752688172046,0,0
